,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
1122,삼성전자 갤럭시북2 프로 NT950XED-KH58S,"1,759,120원",삼성전자,갤럭시북2 프로,별점5.0 / 5,39.62cm(15.6인치),1.11kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1240P,Iris Xe Graphics
1123,HP ENVY 16-h0042TX,"2,499,000원",HP,HP,별점5.0 / 5,40.6cm(16인치),2.32kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840x2400(4K UHD),16GB,코어i7-12700H,RTX3060
1124,삼성전자 노트북9 METAL NT900X3L-K24S,"1,012,770원",삼성전자,노트북9 METAL,-,null,0.84kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,4405U,GMA HD 510
1125,레노버 씽크북 15 Gen3 ACL 21A4000NKR,"466,770원",레노버,씽크북,별점4.0 / 5,39.62cm(15.6인치),1.7kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,라이젠3-5300U,라데온 Graphics
1126,LG전자 16Z90Q-GR5BK,"1,728,850원",LG전자,LG전자,-,40.6cm(16인치),1.199kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8GB,코어i5-1240P,Iris Xe Graphics
1127,ASUS S5602ZA-L2014,"1,441,380원",ASUS,ASUS,별점5.0 / 5,40.6cm(16인치),1.8kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840x2400(4K UHD),16GB,코어i7-12700H,Iris Xe Graphics
1128,레노버 씽크패드 T14s Gen3 21BR001YKR,"1,849,000원",레노버,씽크패드,-,35.56cm(14인치),1.21kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16GB,코어i7-1260P,Iris Xe Graphics
1129,삼성전자 노트북5 NT550EBA-K38W,"798,990원",삼성전자,노트북5,별점4.6 / 5,null,1.9kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i3-7020U,GMA HD 620
1130,삼성전자 갤럭시북 이온 NT930XCJ-K716A,"1,690,000원",삼성전자,갤럭시북 이온,별점4.8 / 5,null,0.97kg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-10510U,UHD Graphics
1131,삼성전자 노트북9 METAL NT900X3L-K58,"1,587,000원",삼성전자,노트북9 METAL,-,null,0.84kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-6200U,GMA HD 520
1132,LG전자 그램15 15Z990-HA7BK 노트북,"1,988,980원",LG전자,그램15,별점4.8 / 5,null,1.09kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),그램15,코어i7-8565U,UHD620
1133,LG전자 울트라PC 15U590-GR36K,"680,000원",LG전자,울트라PC,별점4.8 / 5,null,1.75kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i3-8145U,UHD620
1134,MSI Sword GF76 A11UE 화이트,"1,439,000원",MSI,MSI,별점4.8 / 5,null,2.6kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-11800H,RTX3060
1135,삼성전자 노트북5 METAL NT560XBE-X58,"1,229,990원",삼성전자,노트북5 METAL,별점4.8 / 5,39.62cm(15.6인치),1.9kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-8265U,UHD Graphics 620
1136,레노버 아이디어패드 D330-10IGM 10.1 WiFi 64GB,"641,700원",레노버,아이디어패드,별점4.5 / 5,null,1.14kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,4GB,셀러론-N4000,UHD600
1137,LG전자 그램14 14Z90N-EB3WK,"1,133,990원",LG전자,그램14,별점4.9 / 5,35.56cm(14인치),0.999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),그램14,코어i3-1005G1,UHD Graphics
1138,삼성전자 노트북5 NT550EBE-X58,"1,198,990원",삼성전자,노트북5,별점4.6 / 5,39.62cm(15.6인치),null,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),null,1.6GHz,1.6GHz
1139,삼성전자 갤럭시북 NT750XDA-KC59U,"999,000원",삼성전자,갤럭시북,별점5.0 / 5,39.62cm(15.6인치),1.55kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,Iris Xe Graphics
1140,레노버 아이디어패드 Slim3-15ALC R3 Win10,"578,990원",레노버,아이디어패드,별점4.8 / 5,39.62cm(15.6인치),1.65kg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1920x1080(FHD),4GB,라이젠3-5300U,라데온 Graphics
1141,HP Victus 16-d1131TX,"1,399,000원",HP,HP,별점4.7 / 5,40.89cm(16.1인치),2.46kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-12700H,지포스 RTX3050 Ti
1142,HP 드래곤플라이맥스 4P7K3PA,"1,948,570원",HP,HP,별점4.9 / 5,33.78cm(13.3인치),1.13kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-1165G7,Iris Xe Graphics
1143,삼성전자 노트북5 NT550EBE-K78A,"1,799,000원",삼성전자,노트북5,별점4.9 / 5,null,1.9kg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i7-8565U,UHD620
1144,LG전자 올뉴그램 13Z980-GA36K,"869,000원",LG전자,올뉴그램,별점4.4 / 5,33.78cm(13.3인치),0.96kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),올뉴그램,코어i3-8130U,HD620
1145,삼성전자 삼성 NT350XCR-AD7AW,"739,000원",삼성전자,삼성,별점4.9 / 5,null,1.81kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i7-10510U,UHD Graphics
1146,삼성전자 오디세이 NT800G5M-X59M,"1,367,350원",삼성전자,오디세이,별점3.4 / 5,null,2.38kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-7300HQ(카비레이크),지포스 GTX 1050
1147,HP 파이어플라이 14 G8-W0DRAV,"1,779,860원",HP,-,별점4.9 / 5,35.56cm(14인치),1.35kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-1165G7,Iris Xe Graphics
1148,LG전자 그램15 15Z90N-VR5IK,"1,479,000원",LG전자,그램15,별점4.7 / 5,null,1.12kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),그램15,코어i5-1035G7,Iris Plus
1149,LG전자 16Z90Q-GR50K,"1,675,250원",LG전자,LG전자,별점5.0 / 5,40.6cm(16인치),1.199kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8GB,코어i5-1240P,Iris Xe Graphics
1150,ASUS TUF DASH F15 FX517ZE-HQ060,"1,341,900원",ASUS,TUF,별점5.0 / 5,39.62cm(15.6인치),2kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1440(QHD),8GB,코어i5-12450H,UHD Graphics
1151,한성컴퓨터 TFG7597XG,"1,999,000원",한성컴퓨터,한성컴퓨터,별점4.8 / 5,null,2.2kg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2560x1440(QHD),16GB,라이젠9-5900HX,RTX3070
1152,삼성전자 노트북9 ALWAYS NT900X5T-X716A,"2,110,990원",삼성전자,노트북9 ALWAYS,별점4.0 / 5,null,1.29kgkg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-8550U,UHD620
1153,DELL G15 DG5520-WH03KR,"1,779,000원",DELL,-,별점3.7 / 5,39.62cm(15.6인치),2.67kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-12700H,Iris Xe Graphics
1154,LG전자 그램17 17Z95N-GR5DK,"1,529,960원",LG전자,그램17,-,43.1cm(17인치),1.35kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),그램17,코어i5-1135G7,Iris Xe Graphics
1155,한성컴퓨터 TFG5276XG,"1,799,000원",한성컴퓨터,한성컴퓨터,별점5.0 / 5,39.62cm(15.6인치),1.7kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-12700H,Iris Xe Graphics
1156,레노버 씽크패드 Z13 Gen1 21D2000FKR,"2,299,000원",레노버,씽크패드,-,33.78cm(13.3인치),1.19kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16GB,라이젠7 PRO-6850U,라데온 680M
1157,에이서 SFX14-41G MAX,"894,310원",에이서,-,별점4.9 / 5,35.56cm(14인치),1.39kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,라이젠5-5600U,지포스 RTX3050 Ti
1158,삼성전자 노트북9 ALWAYS NT930XBE-K58,"1,543,400원",삼성전자,노트북9 ALWAYS,별점4.8 / 5,null,0.99kg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-8265U,UHD620
