,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
163,LG전자 LG그램 16Z90Q-GA76K,"2,108,990원",LG전자,LG그램,별점5.0 / 5,40.6cm(16인치),1.199kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1260P,Iris Xe Graphics
164,ASUS 비보북프로 15 OLED K3500PC-L1154,"1,082,130원",ASUS,비보북프로,별점4.8 / 5,39.62cm(15.6인치),1.65kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i5-11300H,Iris Xe Graphics
165,HP OMEN 16-b1030TX,"1,879,010원",HP,OMEN,별점4.9 / 5,40.89cm(16.1인치),2.3kg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),16GB,i7-12700H,RTX3060
166,LG전자 LG그램 16ZD95P-GX5BK,"1,163,990원",LG전자,LG그램,별점4.9 / 5,40.6cm(16인치),1.19kg,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2560x1600(WQXGA),8GB,i5-1155G7,Iris Xe Graphics
167,LG전자 LG그램 16Z95P-GA5LK,"1,398,990원",LG전자,LG그램,별점4.8 / 5,40.6cm(16인치),1.19kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i5-1155G7,Iris Xe Graphics
168,삼성전자 갤럭시북 프로360 NT950QDB-KC72G,"1,638,990원",삼성전자,갤럭시북 프로360,별점4.8 / 5,39.62cm(15.6인치),1.39kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-1165G7,Iris Xe Graphics
169,삼성전자 갤럭시북2 프로 NT950XEE-XC71G,"1,795,390원",삼성전자,갤럭시북2 프로,별점5.0 / 5,39.62cm(15.6인치),1.17kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-1260P,ARC A350M
170,ASUS 비보북프로 15 OLED M3500QC-L1085,"1,169,470원",ASUS,비보북프로,별점4.8 / 5,39.62cm(15.6인치),1.65kg,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),16GB,5800H,지포스 RTX3050
171,삼성전자 갤럭시북 플렉스 NT950QCG-X716A,"2,290,000원",삼성전자,갤럭시북 플렉스,별점4.9 / 5,39.62cm(15.6인치),1.52kg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-1065G7,Iris Plus
172,레노버 아이디어패드 Slim3 15ABA7 R5 DOS,"579,000원",레노버,아이디어패드,별점4.9 / 5,39.62cm(15.6인치),1.63kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,5625U,라데온 Graphics
173,디클 클릭북 D14u Win11,"359,000원",디클,디클,별점4.7 / 5,35.81cm(14.1인치),1.38kg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),4GB,N4120,UHD600
174,디클 클릭북 D14 프로 Win11,"359,000원",디클,디클,별점4.8 / 5,35.81cm(14.1인치),1.3kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,N4120,UHD600
175,레노버 Slim7 Pro 14ACH R5 MX450 2.2K DOS,"1,160,140원",레노버,레노버,별점4.8 / 5,35.56cm(14인치),1.3kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2240x1400,16GB,5600HS,지포스 MX450
176,HP VICTUS 16-e0225AX,"1,099,000원",HP,VICTUS,-,40.89cm(16.1인치),2.46kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,5600H,지포스 RTX3050 Ti
177,레노버 씽크패드 E15 G4 21ED004EKD,"695,400원",레노버,씽크패드,별점4.9 / 5,39.62cm(15.6인치),1.78kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,5625U,라데온 Graphics
