,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
464,삼성전자 갤럭시북2 프로360 NT930QED-KC51G,1942690.0,삼성전자,갤럭시북2 프로360,별점5.0 / 5,13.3,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i5-1240P,integrated graphics
465,LG전자 그램15 15Z90P-GR56K,1487490.0,LG전자,그램15,별점4.9 / 5,15.6,1120,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
466,삼성전자 갤럭시북 NT755XDA-KC58S,1097000.0,삼성전자,갤럭시북,별점4.9 / 5,15.6,1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
467,LG전자 그램14 14Z95N-G.ARTMK,1179990.0,LG전자,그램14,별점4.7 / 5,14.0,990,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i3-1115G4,integrated graphics
468,삼성전자 삼성 NT755XDA-KC59S,1183970.0,삼성전자,삼성,별점4.0 / 5,15.6,1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
469,LG전자 그램14 14Z90P-GA76K,1419060.0,LG전자,그램14,별점4.9 / 5,14.0,999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920x1200(WUXGA),8192,i7-1165G7,integrated graphics
470,삼성전자 갤럭시북 NT750XDA-KE51S,1010940.0,삼성전자,갤럭시북,별점5.0 / 5,15.6,1550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i5-1135G7,integrated graphics
471,HP 엘리트 드래곤플라이 G3 6W7L8PA,2429000.0,HP,엘리트,-,13.5,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000x2000,16384,i7-1255U,integrated graphics
472,레노버 V14-82C600LMKR,314830.0,레노버,레노버,별점4.9 / 5,14.0,1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4096,3250U,integrated graphics
473,LG전자 그램17 17ZD990-VX50K,1515460.0,LG전자,그램17,별점4.8 / 5,17.0,1340,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i5-8265U,integrated graphics
474,LG전자 그램17 17Z995-VA50K,1487970.0,LG전자,그램17,별점4.9 / 5,17.0,1340,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i5-10210U,integrated graphics
475,삼성전자 갤럭시북 플렉스2 NT950QDA-XC50B,1646190.0,삼성전자,갤럭시북 플렉스2,별점5.0 / 5,15.6,1570,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),8192,i5-1135G7,MX450
476,LG전자 그램17 17ZD90N-VX30K,1329990.0,LG전자,그램17,별점4.8 / 5,17.0,1350,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i3-1005G1,integrated graphics
477,ASUS 비보북 M1502IA-BQ038,569000.0,ASUS,비보북,별점4.6 / 5,15.6,1700,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8192,4600H,integrated graphics
478,LG전자 그램15 15Z90N-VR56K,1479900.0,LG전자,그램15,별점4.8 / 5,15.6,1120,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1035G7,integrated graphics
479,마이크로소프트 서피스 프로8 8PQ-00030,1485000.0,마이크로소프트,서피스,별점4.9 / 5,13.0,891,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2880x1920,8192,i5-1135G7,integrated graphics
480,기가바이트 A7 K1 R7,1329900.0,기가바이트,기가바이트,별점4.7 / 5,17.3,2400,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,5800H,RTX3060
481,레노버 씽크북 16 Gen4+ ARA 21D1000VKR,1269000.0,레노버,씽크북,별점5.0 / 5,16.0,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,6800U,integrated graphics
482,LG전자 울트라기어 17U70P-FA76K,1750000.0,LG전자,울트라기어,별점4.8 / 5,17.0,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i7-1165G7,GTX1650 Ti
483,HP 프로북 455 G7-3Q044PA,509000.0,HP,프로북,별점4.8 / 5,15.6,2000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,4500U,integrated graphics
484,LG전자 그램360 14TD90Q-GX5BK,1627350.0,LG전자,그램360,별점5.0 / 5,14.0,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16384,i5-1240P,integrated graphics
485,MSI 프레스티지 15 A12UC,1649000.0,MSI,MSI,별점4.7 / 5,15.6,1690,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1280P,RTX3050
486,레노버 씽크패드 T14s GEN2 20XFS00B00,1549000.0,레노버,씽크패드,별점4.7 / 5,14.0,1280,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,5850U,integrated graphics
487,LG전자 울트라PC 엣지 14U70Q-GA56K,1137990.0,LG전자,울트라PC 엣지,별점5.0 / 5,14.0,1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16384,5625U,integrated graphics
488,주연테크 L9E35T,1099000.0,주연테크,주연테크,별점4.7 / 5,17.3,2390,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1920x1080(FHD),16384,i7-11800H,RTX3050 Ti
489,레노버 Gaming 3i 15IAH I7 3050Ti Edition,1399000.0,레노버,레노버,-,15.6,2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i7-12700H,RTX3050 Ti
490,삼성전자 갤럭시북 프로360 NT950QDB-KD72G,1699000.0,삼성전자,갤럭시북 프로360,별점5.0 / 5,15.6,1390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,integrated graphics
491,LG전자 그램17 17Z90N-VA56K,1640960.0,LG전자,그램17,별점4.8 / 5,17.0,1350,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i5-1035G7,integrated graphics
492,ASUS M1603QA-MB045,695320.0,ASUS,ASUS,별점4.8 / 5,16.0,1800,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920x1200(WUXGA),8192,5600H,integrated graphics
493,HP 15s-fq5003TU,685300.0,HP,HP,별점4.8 / 5,15.6,1690,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1235U,integrated graphics
494,삼성전자 갤럭시북 NT750XDA-XD72U,1298990.0,삼성전자,갤럭시북,별점4.5 / 5,15.6,1590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,integrated graphics
495,LG전자 그램17 17Z90N-VA7BK,1853040.0,LG전자,그램17,별점4.8 / 5,17.0,1350,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i7-1065G7,integrated graphics
496,한성컴퓨터 TFG5275,1299000.0,한성컴퓨터,한성컴퓨터,별점5.0 / 5,15.6,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-12700H,integrated graphics
497,레노버 씽크패드 T16 Gen1-21BVS00700,1549000.0,레노버,씽크패드,별점5.0 / 5,16.0,1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16384,i5-1240P,integrated graphics
498,레노버 요가 Slim7 Carbon13ITL5 82EV0033KR,898940.0,레노버,요가,별점4.6 / 5,13.3,970,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i5-1135G7,integrated graphics
499,LG전자 그램15 15ZD95N-GX70K,1418050.0,LG전자,그램15,별점5.0 / 5,15.6,1120,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,integrated graphics
500,삼성전자 갤럭시북 이온2 NT950XDA-XC58W,1662490.0,삼성전자,갤럭시북 이온2,별점4.9 / 5,15.6,1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,MX450
501,LG전자 울트라PC 엣지 16UD70Q-GX30K,849000.0,LG전자,울트라PC 엣지,별점5.0 / 5,16.0,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),8192,5300U,integrated graphics
502,레노버 요가 Slim7 Carbon13ITL5 82EV0049KR,1349000.0,레노버,요가,별점4.8 / 5,13.3,970,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i7-1165G7,integrated graphics
503,LG전자 그램360 16TD90P-GX70K,1500800.0,LG전자,그램360,별점4.9 / 5,16.0,1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i7-1165G7,integrated graphics
504,HP ENVY x360 15-ed1520TU,1119000.0,HP,ENVY,별점5.0 / 5,15.6,1920,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
505,LG전자 그램17 17Z90P-GA56K,1650000.0,LG전자,그램17,별점4.9 / 5,17.0,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i5-1135G7,integrated graphics
506,삼성전자 갤럭시북 플렉스2 NT950QDA-XC71Z,2255050.0,삼성전자,갤럭시북 플렉스2,별점4.9 / 5,15.6,1570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,MX450
507,기가바이트 G5 GD Gen11 i5,1199000.0,기가바이트,기가바이트,별점4.9 / 5,15.6,2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i5-11400H,integrated graphics
508,기가바이트 어로스 5 SE4,1709900.0,기가바이트,어로스,별점4.9 / 5,15.6,2300,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-12700H,integrated graphics
509,베이직스 베이직북14 2세대,550000.0,베이직스,베이직스,별점4.7 / 5,14.1,1380,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8192,N4100,integrated graphics
510,LG전자 15Z90N-VA7CL,1329000.0,LG전자,-,별점4.6 / 5,15.6,1130,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i7-1065G7,integrated graphics
511,LG전자 울트라PC 14U30P-E31FK,403000.0,LG전자,울트라PC,별점4.7 / 5,14.0,1450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4096,N4120,integrated graphics
512,LG전자 그램17 17ZD95N-GX76K,1486000.0,LG전자,그램17,별점4.9 / 5,17.0,1350,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2560x1600(WQXGA),16384,i7-1165G7,integrated graphics
513,ASUS F15 FX506HM-HN130,1123270.0,ASUS,-,별점4.8 / 5,15.6,2300,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1920x1080(FHD),8192,i5-11400H,integrated graphics
514,삼성전자 노트북5 METAL NT560XBV-GD7A,807580.0,삼성전자,노트북5 METAL,별점4.8 / 5,15.6,1900,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i7-8565U,integrated graphics
515,삼성전자 갤럭시북2 프로 NT950XED-KC58S,1472640.0,삼성전자,갤럭시북2 프로,별점5.0 / 5,15.6,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1240P,integrated graphics
516,HP 엘리트북 845 G7-2F1L9PA,699000.0,HP,엘리트북,별점4.8 / 5,14.0,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,4750U,integrated graphics
517,ASUS 비보북 X712EA-AU124,786240.0,ASUS,비보북,별점4.9 / 5,17.3,2300,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
518,MSI Pulse GL76 12UEK-i9,1999000.0,MSI,MSI,-,17.3,2660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i9-12900H,RTX3060
519,삼성전자 노트북5 METAL NT560XBV-GD5A,1048990.0,삼성전자,노트북5 METAL,별점4.9 / 5,15.6,1900,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1920x1080(FHD),8192,i5-8265U,integrated graphics
520,에이서 니트로5 AN515-45 3060,1219000.0,에이서,니트로5,별점4.7 / 5,15.6,2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,5800H,RTX3060
521,LG전자 LG그램 16Z95P-GA7WK,1459000.0,LG전자,LG그램,별점5.0 / 5,16.0,1190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i7-1195G7,integrated graphics
522,삼성전자 갤럭시북 프로 NT950XDC-XL52S,1576860.0,삼성전자,갤럭시북 프로,별점4.8 / 5,15.6,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i5-1135G7,integrated graphics
523,LG전자 그램15 15ZD990-VX70K 노트북,1590550.0,LG전자,그램15,별점4.8 / 5,15.6,1090,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i7-8565U,integrated graphics
524,LG전자 그램17 17Z95N-OA76K,1699000.0,LG전자,그램17,별점4.8 / 5,17.0,1350,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i7-1165G7,integrated graphics
525,LG전자 그램 2in1 14TD90N-VX50K,1215600.0,LG전자,그램 2in1,별점4.8 / 5,14.0,1140,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-10210U,integrated graphics
526,삼성전자 갤럭시북2 프로360 NT950QED-KF51G,2047250.0,삼성전자,갤럭시북2 프로360,별점5.0 / 5,15.6,1410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i5-1240P,integrated graphics
527,레노버 리전 7i 16ITHg I7 3070 PRO,2298000.0,레노버,리전,별점4.9 / 5,16.0,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),32768,i7-11800H,RTX3070
528,한성컴퓨터 TFG7276XG,1899000.0,한성컴퓨터,한성컴퓨터,별점4.3 / 5,17.3,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-12700H,integrated graphics
529,LG전자 그램15 15Z990-HA70K 노트북,1659100.0,LG전자,그램15,별점4.9 / 5,15.6,1090,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i7-8565U,integrated graphics
530,LG전자 울트라PC 15U50N-KR56K,919010.0,LG전자,울트라PC,별점4.8 / 5,15.6,1850,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-10210U,integrated graphics
531,주연테크 리오나인 젠 L6CS36,1195280.0,주연테크,주연테크,별점4.9 / 5,15.6,2200,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),16384,5800H,RTX3060
532,HP Victus 16-d1141TX,1599000.0,HP,HP,별점4.9 / 5,16.1,2460,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),16384,i7-12700H,RTX3060
533,HP VICTUS 16-e0225AX,1099000.0,HP,VICTUS,-,16.1,2460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,5600H,RTX3050 Ti
534,삼성전자 갤럭시북 프로360 NT930QDB-KF59G,1480390.0,삼성전자,갤럭시북 프로360,별점4.9 / 5,13.3,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
535,레노버 씽크북 14 Gen3 ACL 21A2A041KR,549000.0,레노버,씽크북,별점4.5 / 5,14.0,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,5500U,integrated graphics
